,passage,question,text
10,ومن الناس من يقول آمنا بالله وباليوم الآخر وما هم بمؤمنين. يخادعون الله والذين آمنوا وما يخدعون إلا أنفسهم وما يشعرون. في قلوبهم مرض فزادهم الله مرضا ولهم عذاب أليم بما كانوا يكذبون. وإذا قيل لهم لا تفسدوا في الأرض قالوا إنما نحن مصلحون. ألا إنهم هم المفسدون ولكن لا يشعرون. وإذا قيل لهم آمنوا كما آمن الناس قالوا أنؤمن كما آمن السفهاء ألا إنهم هم السفهاء ولكن لا يعلمون. وإذا لقوا الذين آمنوا قالوا آمنا وإذا خلوا إلى شياطينهم قالوا إنا معكم إنما نحن مستهزئون. الله يستهزئ بهم ويمدهم في طغيانهم يعمهون. أولئك الذين اشتروا الضلالة بالهدى فما ربحت تجارتهم وما كانوا مهتدين.,إن كان الله قدّر علي أفعالي فلماذا يحاسبني؟,أولئك الذين اشتروا الضلالة بالهدى
11,إن الذين يكتمون ما أنزل الله من الكتاب ويشترون به ثمنا قليلا أولئك ما يأكلون في بطونهم إلا النار ولا يكلمهم الله يوم القيامة ولا يزكيهم ولهم عذاب أليم. أولئك الذين اشتروا الضلالة بالهدى والعذاب بالمغفرة فما أصبرهم على النار. ذلك بأن الله نزل الكتاب بالحق وإن الذين اختلفوا في الكتاب لفي شقاق بعيد.,إن كان الله قدّر علي أفعالي فلماذا يحاسبني؟,أولئك الذين اشتروا الضلالة بالهدى والعذاب بالمغفرة
12,إن الذين آمنوا وعملوا الصالحات وأقاموا الصلاة وآتوا الزكاة لهم أجرهم عند ربهم ولا خوف عليهم ولا هم يحزنون. يا أيها الذين آمنوا اتقوا الله وذروا ما بقي من الربا إن كنتم مؤمنين. فإن لم تفعلوا فأذنوا بحرب من الله ورسوله وإن تبتم فلكم رءوس أموالكم لا تظلمون ولا تظلمون. وإن كان ذو عسرة فنظرة إلى ميسرة وأن تصدقوا خير لكم إن كنتم تعلمون. واتقوا يوما ترجعون فيه إلى الله ثم توفى كل نفس ما كسبت وهم لا يظلمون.,إن كان الله قدّر علي أفعالي فلماذا يحاسبني؟,اتقوا يوما ترجعون فيه إلى الله ثم توفى كل نفس ما كسبت وهم لا يظلمون
13,لله ما في السماوات وما في الأرض وإن تبدوا ما في أنفسكم أو تخفوه يحاسبكم به الله فيغفر لمن يشاء ويعذب من يشاء والله على كل شيء قدير. آمن الرسول بما أنزل إليه من ربه والمؤمنون كل آمن بالله وملائكته وكتبه ورسله لا نفرق بين أحد من رسله وقالوا سمعنا وأطعنا غفرانك ربنا وإليك المصير. لا يكلف الله نفسا إلا وسعها لها ما كسبت وعليها ما اكتسبت ربنا لا تؤاخذنا إن نسينا أو أخطأنا ربنا ولا تحمل علينا إصرا كما حملته على الذين من قبلنا ربنا ولا تحملنا ما لا طاقة لنا به واعف عنا واغفر لنا وارحمنا أنت مولانا فانصرنا على القوم الكافرين.,إن كان الله قدّر علي أفعالي فلماذا يحاسبني؟,لا يكلف الله نفسا إلا وسعها لها ما كسبت وعليها ما اكتسبت
14,وأنزلنا إليك الكتاب بالحق مصدقا لما بين يديه من الكتاب ومهيمنا عليه فاحكم بينهم بما أنزل الله ولا تتبع أهواءهم عما جاءك من الحق لكل جعلنا منكم شرعة ومنهاجا ولو شاء الله لجعلكم أمة واحدة ولكن ليبلوكم في ما آتاكم فاستبقوا الخيرات إلى الله مرجعكم جميعا فينبئكم بما كنتم فيه تختلفون. وأن احكم بينهم بما أنزل الله ولا تتبع أهواءهم واحذرهم أن يفتنوك عن بعض ما أنزل الله إليك فإن تولوا فاعلم أنما يريد الله أن يصيبهم ببعض ذنوبهم وإن كثيرا من الناس لفاسقون. أفحكم الجاهلية يبغون ومن أحسن من الله حكما لقوم يوقنون.,إن كان الله قدّر علي أفعالي فلماذا يحاسبني؟,ليبلوكم في ما آتاكم فاستبقوا الخيرات
15,ولو ترى إذ وقفوا على النار فقالوا يا ليتنا نرد ولا نكذب بآيات ربنا ونكون من المؤمنين. بل بدا لهم ما كانوا يخفون من قبل ولو ردوا لعادوا لما نهوا عنه وإنهم لكاذبون. وقالوا إن هي إلا حياتنا الدنيا وما نحن بمبعوثين. ولو ترى إذ وقفوا على ربهم قال أليس هذا بالحق قالوا بلى وربنا قال فذوقوا العذاب بما كنتم تكفرون. قد خسر الذين كذبوا بلقاء الله حتى إذا جاءتهم الساعة بغتة قالوا يا حسرتنا على ما فرطنا فيها وهم يحملون أوزارهم على ظهورهم ألا ساء ما يزرون. وما الحياة الدنيا إلا لعب ولهو وللدار الآخرة خير للذين يتقون أفلا تعقلون.,إن كان الله قدّر علي أفعالي فلماذا يحاسبني؟,قد خسر الذين كذبوا بلقاء الله حتى إذا جاءتهم الساعة بغتة قالوا يا حسرتنا على ما فرطنا فيها وهم يحملون أوزارهم على ظهورهم
16,وجعلوا لله شركاء الجن وخلقهم وخرقوا له بنين وبنات بغير علم سبحانه وتعالى عما يصفون. بديع السماوات والأرض أنى يكون له ولد ولم تكن له صاحبة وخلق كل شيء وهو بكل شيء عليم. ذلكم الله ربكم لا إله إلا هو خالق كل شيء فاعبدوه وهو على كل شيء وكيل. لا تدركه الأبصار وهو يدرك الأبصار وهو اللطيف الخبير. قد جاءكم بصائر من ربكم فمن أبصر فلنفسه ومن عمي فعليها وما أنا عليكم بحفيظ. وكذلك نصرف الآيات وليقولوا درست ولنبينه لقوم يعلمون.,إن كان الله قدّر علي أفعالي فلماذا يحاسبني؟,قد جاءكم بصائر من ربكم فمن أبصر فلنفسه ومن عمي فعليها
17,سيقول الذين أشركوا لو شاء الله ما أشركنا ولا آباؤنا ولا حرمنا من شيء كذلك كذب الذين من قبلهم حتى ذاقوا بأسنا قل هل عندكم من علم فتخرجوه لنا إن تتبعون إلا الظن وإن أنتم إلا تخرصون. قل فلله الحجة البالغة فلو شاء لهداكم أجمعين. قل هلم شهداءكم الذين يشهدون أن الله حرم هذا فإن شهدوا فلا تشهد معهم ولا تتبع أهواء الذين كذبوا بآياتنا والذين لا يؤمنون بالآخرة وهم بربهم يعدلون.,إن كان الله قدّر علي أفعالي فلماذا يحاسبني؟,سيقول الذين أشركوا لو شاء الله ما أشركنا ولا آباؤنا ولا حرمنا من شيء كذلك كذب الذين من قبلهم
18,فلا تحسبن الله مخلف وعده رسله إن الله عزيز ذو انتقام. يوم تبدل الأرض غير الأرض والسماوات وبرزوا لله الواحد القهار. وترى المجرمين يومئذ مقرنين في الأصفاد. سرابيلهم من قطران وتغشى وجوههم النار. ليجزي الله كل نفس ما كسبت إن الله سريع الحساب. هذا بلاغ للناس ولينذروا به وليعلموا أنما هو إله واحد وليذكر أولو الألباب.,إن كان الله قدّر علي أفعالي فلماذا يحاسبني؟,ليجزي الله كل نفس ما كسبت
19,وقال الذين أشركوا لو شاء الله ما عبدنا من دونه من شيء نحن ولا آباؤنا ولا حرمنا من دونه من شيء كذلك فعل الذين من قبلهم فهل على الرسل إلا البلاغ المبين. ولقد بعثنا في كل أمة رسولا أن اعبدوا الله واجتنبوا الطاغوت فمنهم من هدى الله ومنهم من حقت عليه الضلالة فسيروا في الأرض فانظروا كيف كان عاقبة المكذبين. إن تحرص على هداهم فإن الله لا يهدي من يضل وما لهم من ناصرين. وأقسموا بالله جهد أيمانهم لا يبعث الله من يموت بلى وعدا عليه حقا ولكن أكثر الناس لا يعلمون. ليبين لهم الذي يختلفون فيه وليعلم الذين كفروا أنهم كانوا كاذبين. إنما قولنا لشيء إذا أردناه أن نقول له كن فيكون.,إن كان الله قدّر علي أفعالي فلماذا يحاسبني؟,قال الذين أشركوا لو شاء الله ما عبدنا من دونه من شيء نحن ولا آباؤنا ولا حرمنا من دونه من شيء كذلك فعل الذين من قبلهم فهل على الرسل إلا البلاغ المبين
20,وجعلنا الليل والنهار آيتين فمحونا آية الليل وجعلنا آية النهار مبصرة لتبتغوا فضلا من ربكم ولتعلموا عدد السنين والحساب وكل شيء فصلناه تفصيلا. وكل إنسان ألزمناه طائره في عنقه ونخرج له يوم القيامة كتابا يلقاه منشورا. اقرأ كتابك كفى بنفسك اليوم عليك حسيبا. من اهتدى فإنما يهتدي لنفسه ومن ضل فإنما يضل عليها ولا تزر وازرة وزر أخرى وما كنا معذبين حتى نبعث رسولا. وإذا أردنا أن نهلك قرية أمرنا مترفيها ففسقوا فيها فحق عليها القول فدمرناها تدميرا. وكم أهلكنا من القرون من بعد نوح وكفى بربك بذنوب عباده خبيرا بصيرا.,إن كان الله قدّر علي أفعالي فلماذا يحاسبني؟,كل إنسان ألزمناه طائره في عنقه
21,وجعلنا الليل والنهار آيتين فمحونا آية الليل وجعلنا آية النهار مبصرة لتبتغوا فضلا من ربكم ولتعلموا عدد السنين والحساب وكل شيء فصلناه تفصيلا. وكل إنسان ألزمناه طائره في عنقه ونخرج له يوم القيامة كتابا يلقاه منشورا. اقرأ كتابك كفى بنفسك اليوم عليك حسيبا. من اهتدى فإنما يهتدي لنفسه ومن ضل فإنما يضل عليها ولا تزر وازرة وزر أخرى وما كنا معذبين حتى نبعث رسولا. وإذا أردنا أن نهلك قرية أمرنا مترفيها ففسقوا فيها فحق عليها القول فدمرناها تدميرا. وكم أهلكنا من القرون من بعد نوح وكفى بربك بذنوب عباده خبيرا بصيرا.,إن كان الله قدّر علي أفعالي فلماذا يحاسبني؟,من اهتدى فإنما يهتدي لنفسه ومن ضل فإنما يضل عليها
22,وقل الحق من ربكم فمن شاء فليؤمن ومن شاء فليكفر إنا أعتدنا للظالمين نارا أحاط بهم سرادقها وإن يستغيثوا يغاثوا بماء كالمهل يشوي الوجوه بئس الشراب وساءت مرتفقا. إن الذين آمنوا وعملوا الصالحات إنا لا نضيع أجر من أحسن عملا. أولئك لهم جنات عدن تجري من تحتهم الأنهار يحلون فيها من أساور من ذهب ويلبسون ثيابا خضرا من سندس وإستبرق متكئين فيها على الأرائك نعم الثواب وحسنت مرتفقا.,إن كان الله قدّر علي أفعالي فلماذا يحاسبني؟,من شاء فليؤمن ومن شاء فليكفر
23,من جاء بالحسنة فله خير منها وهم من فزع يومئذ آمنون. ومن جاء بالسيئة فكبت وجوههم في النار هل تجزون إلا ما كنتم تعملون. إنما أمرت أن أعبد رب هذه البلدة الذي حرمها وله كل شيء وأمرت أن أكون من المسلمين. وأن أتلو القرآن فمن اهتدى فإنما يهتدي لنفسه ومن ضل فقل إنما أنا من المنذرين. وقل الحمد لله سيريكم آياته فتعرفونها وما ربك بغافل عما تعملون.,إن كان الله قدّر علي أفعالي فلماذا يحاسبني؟,من اهتدى فإنما يهتدي لنفسه ومن ضل فقل إنما أنا من المنذرين
24,فآت ذا القربى حقه والمسكين وابن السبيل ذلك خير للذين يريدون وجه الله وأولئك هم المفلحون. وما آتيتم من ربا ليربو في أموال الناس فلا يربو عند الله وما آتيتم من زكاة تريدون وجه الله فأولئك هم المضعفون. الله الذي خلقكم ثم رزقكم ثم يميتكم ثم يحييكم هل من شركائكم من يفعل من ذلكم من شيء سبحانه وتعالى عما يشركون. ظهر الفساد في البر والبحر بما كسبت أيدي الناس ليذيقهم بعض الذي عملوا لعلهم يرجعون.,إن كان الله قدّر علي أفعالي فلماذا يحاسبني؟,ظهر الفساد في البر والبحر بما كسبت أيدي الناس
25,يا أيها الناس أنتم الفقراء إلى الله والله هو الغني الحميد. إن يشأ يذهبكم ويأت بخلق جديد. وما ذلك على الله بعزيز. ولا تزر وازرة وزر أخرى وإن تدع مثقلة إلى حملها لا يحمل منه شيء ولو كان ذا قربى إنما تنذر الذين يخشون ربهم بالغيب وأقاموا الصلاة ومن تزكى فإنما يتزكى لنفسه وإلى الله المصير.,إن كان الله قدّر علي أفعالي فلماذا يحاسبني؟,من تزكى فإنما يتزكى لنفسه
26,ولئن سألتهم من خلق السماوات والأرض ليقولن الله قل أفرأيتم ما تدعون من دون الله إن أرادني الله بضر هل هن كاشفات ضره أو أرادني برحمة هل هن ممسكات رحمته قل حسبي الله عليه يتوكل المتوكلون. قل يا قوم اعملوا على مكانتكم إني عامل فسوف تعلمون. من يأتيه عذاب يخزيه ويحل عليه عذاب مقيم. إنا أنزلنا عليك الكتاب للناس بالحق فمن اهتدى فلنفسه ومن ضل فإنما يضل عليها وما أنت عليهم بوكيل.,إن كان الله قدّر علي أفعالي فلماذا يحاسبني؟,من اهتدى فلنفسه ومن ضل فإنما يضل عليها
27,ولقد آتينا موسى الكتاب فاختلف فيه ولولا كلمة سبقت من ربك لقضي بينهم وإنهم لفي شك منه مريب. من عمل صالحا فلنفسه ومن أساء فعليها وما ربك بظلام للعبيد. إليه يرد علم الساعة وما تخرج من ثمرات من أكمامها وما تحمل من أنثى ولا تضع إلا بعلمه ويوم يناديهم أين شركائي قالوا آذناك ما منا من شهيد. وضل عنهم ما كانوا يدعون من قبل وظنوا ما لهم من محيص.,إن كان الله قدّر علي أفعالي فلماذا يحاسبني؟,من عمل صالحا فلنفسه ومن أساء فعليها وما ربك بظلام للعبيد
28,ولو بسط الله الرزق لعباده لبغوا في الأرض ولكن ينزل بقدر ما يشاء إنه بعباده خبير بصير. وهو الذي ينزل الغيث من بعد ما قنطوا وينشر رحمته وهو الولي الحميد. ومن آياته خلق السماوات والأرض وما بث فيهما من دابة وهو على جمعهم إذا يشاء قدير. وما أصابكم من مصيبة فبما كسبت أيديكم ويعفو عن كثير. وما أنتم بمعجزين في الأرض وما لكم من دون الله من ولي ولا نصير.,إن كان الله قدّر علي أفعالي فلماذا يحاسبني؟,ما أصابكم من مصيبة فبما كسبت أيديكم ويعفو عن كثير
29,الله الذي سخر لكم البحر لتجري الفلك فيه بأمره ولتبتغوا من فضله ولعلكم تشكرون. وسخر لكم ما في السماوات وما في الأرض جميعا منه إن في ذلك لآيات لقوم يتفكرون. قل للذين آمنوا يغفروا للذين لا يرجون أيام الله ليجزي قوما بما كانوا يكسبون. من عمل صالحا فلنفسه ومن أساء فعليها ثم إلى ربكم ترجعون.,إن كان الله قدّر علي أفعالي فلماذا يحاسبني؟,من عمل صالحا فلنفسه ومن أساء فعليها
30,الذين كفروا وصدوا عن سبيل الله أضل أعمالهم. والذين آمنوا وعملوا الصالحات وآمنوا بما نزل على محمد وهو الحق من ربهم كفر عنهم سيئاتهم وأصلح بالهم. ذلك بأن الذين كفروا اتبعوا الباطل وأن الذين آمنوا اتبعوا الحق من ربهم كذلك يضرب الله للناس أمثالهم. فإذا لقيتم الذين كفروا فضرب الرقاب حتى إذا أثخنتموهم فشدوا الوثاق فإما منا بعد وإما فداء حتى تضع الحرب أوزارها ذلك ولو يشاء الله لانتصر منهم ولكن ليبلو بعضكم ببعض والذين قتلوا في سبيل الله فلن يضل أعمالهم. سيهديهم ويصلح بالهم. ويدخلهم الجنة عرفها لهم.,إن كان الله قدّر علي أفعالي فلماذا يحاسبني؟,لو يشاء الله لانتصر منهم ولكن ليبلو بعضكم ببعض
31,تبارك الذي بيده الملك وهو على كل شيء قدير. الذي خلق الموت والحياة ليبلوكم أيكم أحسن عملا وهو العزيز الغفور. الذي خلق سبع سماوات طباقا ما ترى في خلق الرحمن من تفاوت فارجع البصر هل ترى من فطور. ثم ارجع البصر كرتين ينقلب إليك البصر خاسئا وهو حسير. ولقد زينا السماء الدنيا بمصابيح وجعلناها رجوما للشياطين وأعتدنا لهم عذاب السعير.,إن كان الله قدّر علي أفعالي فلماذا يحاسبني؟,الذي خلق الموت والحياة ليبلوكم أيكم أحسن عملا
32,إنا أرسلنا إليكم رسولا شاهدا عليكم كما أرسلنا إلى فرعون رسولا. فعصى فرعون الرسول فأخذناه أخذا وبيلا. فكيف تتقون إن كفرتم يوما يجعل الولدان شيبا. السماء منفطر به كان وعده مفعولا. إن هذه تذكرة فمن شاء اتخذ إلى ربه سبيلا.,إن كان الله قدّر علي أفعالي فلماذا يحاسبني؟,إن هذه تذكرة فمن شاء اتخذ إلى ربه سبيلا
33,كلا والقمر. والليل إذ أدبر. والصبح إذا أسفر. إنها لإحدى الكبر. نذيرا للبشر. لمن شاء منكم أن يتقدم أو يتأخر. كل نفس بما كسبت رهينة. إلا أصحاب اليمين. في جنات يتساءلون. عن المجرمين. ما سلككم في سقر. قالوا لم نك من المصلين. ولم نك نطعم المسكين. وكنا نخوض مع الخائضين. وكنا نكذب بيوم الدين. حتى أتانا اليقين. فما تنفعهم شفاعة الشافعين.,إن كان الله قدّر علي أفعالي فلماذا يحاسبني؟,لمن شاء منكم أن يتقدم أو يتأخر
34,كلا والقمر. والليل إذ أدبر. والصبح إذا أسفر. إنها لإحدى الكبر. نذيرا للبشر. لمن شاء منكم أن يتقدم أو يتأخر. كل نفس بما كسبت رهينة. إلا أصحاب اليمين. في جنات يتساءلون. عن المجرمين. ما سلككم في سقر. قالوا لم نك من المصلين. ولم نك نطعم المسكين. وكنا نخوض مع الخائضين. وكنا نكذب بيوم الدين. حتى أتانا اليقين. فما تنفعهم شفاعة الشافعين.,إن كان الله قدّر علي أفعالي فلماذا يحاسبني؟,كل نفس بما كسبت رهينة
35,إنا نحن نزلنا عليك القرآن تنزيلا. فاصبر لحكم ربك ولا تطع منهم آثما أو كفورا. واذكر اسم ربك بكرة وأصيلا. ومن الليل فاسجد له وسبحه ليلا طويلا. إن هؤلاء يحبون العاجلة ويذرون وراءهم يوما ثقيلا. نحن خلقناهم وشددنا أسرهم وإذا شئنا بدلنا أمثالهم تبديلا. إن هذه تذكرة فمن شاء اتخذ إلى ربه سبيلا. وما تشاءون إلا أن يشاء الله إن الله كان عليما حكيما. يدخل من يشاء في رحمته والظالمين أعد لهم عذابا أليما.,إن كان الله قدّر علي أفعالي فلماذا يحاسبني؟,إن هذه تذكرة فمن شاء اتخذ إلى ربه سبيلا
36,يوم يقوم الروح والملائكة صفا لا يتكلمون إلا من أذن له الرحمن وقال صوابا. ذلك اليوم الحق فمن شاء اتخذ إلى ربه مآبا. إنا أنذرناكم عذابا قريبا يوم ينظر المرء ما قدمت يداه ويقول الكافر يا ليتني كنت ترابا.,إن كان الله قدّر علي أفعالي فلماذا يحاسبني؟,من شاء اتخذ إلى ربه مآبا
37,فلا أقسم بالخنس. الجوار الكنس. والليل إذا عسعس. والصبح إذا تنفس. إنه لقول رسول كريم. ذي قوة عند ذي العرش مكين. مطاع ثم أمين. وما صاحبكم بمجنون. ولقد رآه بالأفق المبين. وما هو على الغيب بضنين. وما هو بقول شيطان رجيم. فأين تذهبون. إن هو إلا ذكر للعالمين. لمن شاء منكم أن يستقيم. وما تشاءون إلا أن يشاء الله رب العالمين.,إن كان الله قدّر علي أفعالي فلماذا يحاسبني؟,لمن شاء منكم أن يستقيم
38,والشمس وضحاها. والقمر إذا تلاها. والنهار إذا جلاها. والليل إذا يغشاها. والسماء وما بناها. والأرض وما طحاها. ونفس وما سواها. فألهمها فجورها وتقواها. قد أفلح من زكاها. وقد خاب من دساها.,إن كان الله قدّر علي أفعالي فلماذا يحاسبني؟,ونفس وما سواها. فألهمها فجورها وتقواها. قد أفلح من زكاها. وقد خاب من دساها
39,مثلهم كمثل الذي استوقد نارا فلما أضاءت ما حوله ذهب الله بنورهم وتركهم في ظلمات لا يبصرون. صم بكم عمي فهم لا يرجعون. أو كصيب من السماء فيه ظلمات ورعد وبرق يجعلون أصابعهم في آذانهم من الصواعق حذر الموت والله محيط بالكافرين. يكاد البرق يخطف أبصارهم كلما أضاء لهم مشوا فيه وإذا أظلم عليهم قاموا ولو شاء الله لذهب بسمعهم وأبصارهم إن الله على كل شيء قدير.,هل الضوء هو النور في القرآن؟,لما أضاءت ما حوله ذهب الله بنورهم وتركهم في ظلمات لا يبصرون
